0,1,2
4463,1,operations
9045,0,Application Architect: Google Cloud Migration
9045,1,git
9045,1,staffing
9045,1,cloud
9045,1,application_development
9045,1,rfp
9045,1,it_skills
9045,1,devops
9045,1,jenkins
2025,0,Senior Data Engineer - DataStage
2025,1,datastage
2025,1,it_skills
2025,1,testing
2025,1,unix_scripting
2025,1,ci/cd
2025,1,data_engineer
2025,1,data_warehousing
2025,1,sql
594,0,Principal Data Scientist
594,1,tensorflow
594,1,python
594,1,machine_learning
594,1,scala
594,1,spark
594,1,r
594,1,scikit
594,1,object_-_oriented
1558,0,Reference Data Analyst
1558,1,diversity_and_inclusion
1558,1,data_analyst
10986,0,Technical Support: Engineer
10986,1,algorithms
10986,1,diagnostics
10986,1,sas
10986,1,data_management
10986,1,cognos
10986,1,customer_support
10986,1,forecasting
10986,1,business_executive
7163,0,Openlink Endur Functional Business Analyst
7163,1,it_skills
7163,1,testing
7163,1,automation_testing
7163,1,business_analyst
7163,1,data_modeling
7163,1,analytical
7163,1,consulting
7163,1,agile
7825,0,Drug Safety Scientist I
7825,1,reconciliation
7825,1,ms_office_tools
7825,1,healthcare
7825,1,workflow
7825,1,life_sciences
7825,1,pharmacovigilance
7825,1,subject_matter_expertise
7825,1,application_software
2058,0,Hiring Engineer / Data Analyst - Energy Transition @ Azure Power
2058,1,resource_assessment
2058,1,engineer_analyst
2058,1,data_analyst
2312,0,GCP Data Engineer with Looker Experience
2312,1,python
2312,1,gcp
2312,1,looker
2312,1,gcp_cloud
2312,1,hadoop
2312,1,tableau
2312,1,java
2312,1,query_optimization
10195,0,Spark Specialist
10195,1,spark
10195,1,snowflake
10195,1,data_lake
10195,1,hadoop
10195,1,java
10195,1,analytical
10195,1,hdfs
10195,1,big_data
10609,0,AIML Architect- Immediate/15 Days Joiner
10609,1,it_skills
10609,1,python
10609,1,data_science
10609,1,cloud
10609,1,devops
10609,1,project_management
10609,1,aws
10609,1,aiml
5871,0,Data Analyst - SAS + Python/SQL - 4-8yrs - Worked with big datasets
5871,1,sas
5871,1,data_analytics
5871,1,python
5871,1,sql
5407,0,Azure Data Engineer
5407,1,azure_synapse
5407,1,pyspark
5407,1,azure_data_engineer
5407,1,azure_databricks
5407,1,python
5407,1,scala
5407,1,azure_functions
5407,1,azure_sql_db
10234,0,Machine Learning Engineer - Python
10234,1,machine_learning
10234,1,forecasting
10234,1,python
10234,1,r
10234,1,linear_regression
10234,1,tensorflow
10234,1,pandas
10234,1,natural_language_processing
6496,0,Big data Developer
6496,1,mysql
6496,1,spark
6496,1,oozie
6496,1,postgres
6496,1,scala
6496,1,big_data
6496,1,data_analysis
6496,1,java
6178,0,Data Analytics Developer
6178,1,c++
6178,1,linux
6178,1,shell_scripting
6178,1,machine_learning
6178,1,database
6178,1,olap
6178,1,informatica
6178,1,analytics
3421,0,Senior Technical Lead (Data Engineer)
3421,1,architect
3421,1,san
3421,1,automation
3421,1,rdbms
3421,1,testing_tools
3421,1,coding
3421,1,javascript
3421,1,agile
8728,0,Senior Software Engineer ( . Net )
8728,1,ci_/_cd
8728,1,c#_net
8728,1,ecs
8728,1,postgresql
8728,1,azure
8728,1,cloud_security
8728,1,docker
8728,1,aws_rds
292,0,Data Scientist and Analyst
292,1,natural_language
292,1,tableau
292,1,python
292,1,deep_learning
292,1,sql
292,1,business_analytics
292,1,statistical_modeling
292,1,machine_learning
6576,0,Data Engineer with Map Reduce Professionals
6576,1,java
6576,1,data_engineer
6576,1,map_reduce_framework
6576,1,it_skills
6576,1,python
6576,1,big_data
6576,1,hive
6576,1,pyspark
7743,0,Privileged Access Management Support Analyst
7743,1,iis
7743,1,linux
7743,1,ldap
7743,1,data_management
7743,1,active_directory
7743,1,windows
7743,1,apache
7743,1,microsoft
5683,0,Data Engineer
5683,1,computer_science
5683,1,customer_acquisition
5683,1,erp
5683,1,data_modeling
5683,1,gcp
5683,1,mysql
5683,1,data_visualization
5683,1,big_data
7435,0,Senior Business Analyst
7435,1,ai_modelling
7435,1,ml_modelling
7435,1,data_requirement_gathering
7435,1,predictive_modeling
7435,1,product_management
7435,1,data_quality
7435,1,business_analyst
7435,1,product_roadmap
7040,0,Associate Portfolio Analyst
7040,1,operational_excellence
7040,1,project_management
7040,1,process_improvement
7040,1,analytical
7040,1,business_planning
7040,1,data_quality
7040,1,project_delivery
7040,1,portfolio_management
4418,0,Data Engineer Senior Role
4418,1,python
4418,1,etl
4418,1,aws
4418,1,athena
4418,1,sql
1318,0,Senior Analyst-Data Visualization
1318,1,publishing
1318,1,excel
1318,1,consulting
1318,1,analytics
1318,1,sql
1318,1,architecture
1318,1,client_relationship
1318,1,data_visualization
3048,0,Azure Data Engineer
3048,1,vnet
3048,1,azure_data_factory
3048,1,sql_server
3048,1,adls_sql_server
3048,1,adf
3048,1,it_skills
3048,1,power_bi
3048,1,azure
3467,0,Senior Technical Lead (Data Engineer)
3467,1,git
3467,1,oops
3467,1,wcf
3467,1,sql
3467,1,jira
3467,1,verbal
3467,1,microservices
3467,1,entity_framework
5982,0,Data Engineer - Python/ Big Data
5982,1,big_data
5982,1,aws
5982,1,python
5982,1,data_analytics
5982,1,pl_sql
5982,1,hadoop_stack
5982,1,integration_-_testing
5982,1,unit_testing
5597,0,Data Engineer
5597,1,supply_chain
5597,1,data_analysis
5597,1,appliances
5597,1,oracle_business_intelligence
5597,1,data_analyst
5597,1,business_intelligence
5597,1,information_technology
5597,1,data_warehousing
4080,0,Data Analyst
4080,1,secondary_data
4080,1,tally
4080,1,computer_operator
4080,1,commerce
4080,1,data_collection
4080,1,data_analyst
4080,1,ms_excel
4080,1,interpreting_data
9375,0,Quantexa Developer
9375,1,it_skills
9375,1,java
9375,1,python
9375,1,testing
9375,1,certified
9375,1,quantexa
3329,0,Senior Technical Lead (Data Engineer)
3329,1,it_skills
3329,1,data_science
3329,1,machine_learning
3329,1,cloud
3329,1,engineering_services
3329,1,san
3329,1,front_end
3329,1,git
8709,0,Sr . Model Operations Engineer
8709,1,maven
8709,1,git
8709,1,powershell
8709,1,artificial_intelligence
8709,1,machine_learning
8709,1,genetics
8709,1,virtualization
8709,1,forecasting
2826,0,Data Analyst
2826,1,unix_linux
2826,1,project_management
2826,1,data_analysis
2826,1,analytical
2826,1,quantitative
2826,1,project_management_skills
2826,1,msc
2826,1,sas_programming
10873,0,BI Manager
